mav1,rms1,zc1,wl1,ssc1,mav_slope1,ar_coeff1,psd1,mav2,rms2,zc2,wl2,ssc2,mav_slope2,ar_coeff2,psd2,label
5.449,12.5840772407038,0.338,6548,0.391,6.55455455455456,0.303241153484432,0.17578125,11.741,24.7658030356377,0.349,14600,0.418,14.6146146146146,0.207416022472474,0.1640625,back
4.612,10.6693017578471,0.357,5964,0.416,5.96996996996997,0.217799575417418,0.25,9.656,18.4766880149014,0.3715,12302,0.415,12.3143143143143,0.208439213071075,0.18359375,back
4.877,12.8387304668336,0.324,6236,0.387,6.24224224224224,0.22645264685856,0.1875,10.813,19.5265716396914,0.3685,13645,0.426,13.6586586586587,0.200727787111911,0.2578125,back
5.682,14.4933088009605,0.35,7238,0.399,7.24524524524525,0.200817740034273,0.1953125,14.662,25.2924099286723,0.3865,18762,0.4345,18.7807807807808,0.197062029092542,0.23046875,back
5.984,13.6925527203659,0.365,7434,0.4215,7.44144144144144,0.234635597736382,0.1796875,10.148,18.973349730609,0.3725,12817,0.4295,12.8298298298298,0.217678519457574,0.20703125,back
5.913,12.6353868163978,0.3965,7579,0.4625,7.58658658658659,0.229557927359995,0.1640625,14.272,25.8534717204479,0.3785,18213,0.423,18.2312312312312,0.196994728238529,0.24609375,back
5.587,13.136552059045,0.3925,6944,0.4385,6.95095095095095,0.232515238642471,0.1640625,12.856,24.6626032689171,0.379,17294,0.425,17.3113113113113,0.163131291174899,0.2734375,back
6.363,13.7014962686562,0.4045,7995,0.45,8.003003003003,0.238347274109071,0.19140625,15.621,28.7810527951984,0.369,19400,0.4345,19.4194194194194,0.240334716566001,0.1796875,back
5.472,12.8670120851735,0.378,7040,0.44,7.04704704704705,0.230425781347887,0.21484375,12.164,23.1716637296505,0.3615,16010,0.4075,16.026026026026,0.161836297750748,0.234375,back
5.857,14.8809609904737,0.3595,7320,0.4245,7.32732732732733,0.270019318589822,0.1640625,16.18,32.3633125622208,0.368,21413,0.42,21.4344344344344,0.204291768754317,0.23828125,back
5.433,12.4935583402008,0.3895,7041,0.4395,7.04804804804805,0.227298150563434,0.19921875,15.195,28.9694494252134,0.3585,19514,0.4265,19.5335335335335,0.193954930685745,0.25390625,back
4.913,10.2706864424925,0.3905,6299,0.4395,6.30530530530531,0.220500104990073,0.1875,15.202,26.5527023106877,0.3805,19633,0.426,19.6526526526527,0.181986346075225,0.19921875,back
6.876,16.0751360802949,0.3565,8609,0.4075,8.61761761761762,0.251538098597178,0.2265625,17.146,32.032764476392,0.3895,22471,0.44,22.4934934934935,0.169404688250705,0.265625,back
4.56,10.3344085462111,0.328,5652,0.3895,5.65765765765766,0.279031688263661,0.16796875,9.133,18.3556258405972,0.312,11456,0.3685,11.4674674674675,0.226480575399491,0.1875,back
4.713,9.69159429608978,0.376,6068,0.44,6.07407407407407,0.246658668481409,0.16796875,9.9,22.5652387534455,0.296,13036,0.35,13.049049049049,0.170893010913542,0.26953125,back
4.705,11.9285791274569,0.3655,5938,0.428,5.94394394394394,0.250367003045909,0.203125,10.14,21.9153827253826,0.3285,12871,0.3755,12.8838838838839,0.177198784029232,0.265625,back
4.221,8.3379254014413,0.366,5451,0.433,5.45645645645646,0.205978179935686,0.20703125,12.554,22.783810041343,0.338,15446,0.397,15.4614614614615,0.221176360958397,0.203125,back
5.213,11.9886196036074,0.3545,6479,0.411,6.48548548548549,0.248716002434523,0.1640625,6.368,15.5542920121746,0.2885,8401,0.3635,8.40940940940941,0.19167943312696,0.1953125,back
3.539,7.04279773953505,0.3665,4446,0.4215,4.45045045045045,0.289147260789696,0.203125,10.495,21.6723095215992,0.3145,13693,0.3715,13.7067067067067,0.187916434581518,0.23046875,back
3.208,5.99816638648846,0.3945,4381,0.455,4.38538538538539,0.156484004612252,0.1953125,12.019,24.3742692198146,0.314,15608,0.365,15.6236236236236,0.109796918223502,0.2734375,back
4.907,10.0511193406506,0.386,6234,0.442,6.24024024024024,0.238812107324439,0.1796875,11.158,23.9093705479672,0.3285,14419,0.3835,14.4334334334334,0.1862014794186,0.21484375,back
5.2,10.95116432166,0.3955,6546,0.4525,6.55255255255255,0.232481826177336,0.2265625,13.366,26.0895764626412,0.3365,16973,0.3855,16.98998998999,0.193952146139727,0.25390625,back
4.904,8.56434469180217,0.4235,6481,0.4665,6.48748748748749,0.189710815290962,0.19140625,17.555,31.7401165719346,0.34,21678,0.405,21.6996996996997,0.217153152773392,0.234375,back
4.992,11.3718951806636,0.3905,6201,0.4455,6.20720720720721,0.239215463985279,0.19921875,18.412,35.773957007857,0.352,24406,0.404,24.4304304304304,0.156436656419001,0.19140625,back
5.64,12.358883444713,0.3655,7136,0.426,7.14314314314314,0.251850966209021,0.25390625,11.126,19.4199382079346,0.3655,14035,0.4145,14.0490490490491,0.209843731215455,0.18359375,back
6.096,13.9409468831927,0.3185,7865,0.376,7.87287287287287,0.17541478452732,0.2421875,9.195,15.3741015997684,0.3885,11785,0.442,11.7967967967968,0.231587777651913,0.1796875,back
3.659,6.92856406479727,0.377,4809,0.445,4.81381381381381,0.186975118554585,0.20703125,9.139,19.7493037851971,0.3545,11131,0.399,11.1421421421421,0.279063219001004,0.16015625,back
5.507,9.49836828092068,0.368,6925,0.4175,6.93193193193193,0.219631598294927,0.19921875,1.667,5.43829017247149,0.3165,2288,0.387,2.29029029029029,0.134749158328024,0.20703125,back
4.821,8.45582639367673,0.379,6189,0.43,6.1951951951952,0.202283658150814,0.19921875,11.218,20.3950974501227,0.364,14178,0.415,14.1921921921922,0.216354907801538,0.1640625,back
5.312,8.83877819610833,0.407,6921,0.464,6.92792792792793,0.173035879643214,0.1953125,3.169,10.4026438947029,0.2585,3891,0.3365,3.89489489489489,0.259745807986075,0.15234375,back
3.092,5.87196730236128,0.397,4054,0.452,4.05805805805806,0.231711642344486,0.24609375,13.929,26.3289764328202,0.3565,17613,0.412,17.6306306306306,0.205642377974575,0.1796875,back
5.255,9.03321648140905,0.401,6810,0.446,6.81681681681682,0.219754631292268,0.1796875,13.603,27.362949402431,0.385,18530,0.437,18.5485485485486,0.117809735817669,0.23046875,back
1.574,4.19285105864733,0.2375,2059,0.286,2.06106106106106,0.264219807265566,0.171875,10.172,21.678007288494,0.395,12814,0.4325,12.8268268268268,0.264427064613903,0.15234375,back
4.593,13.0953045019961,0.266,5416,0.3055,5.42142142142142,0.403826497804892,0.1640625,11.176,24.4422994008338,0.3805,14188,0.4395,14.2022022022022,0.196049259214048,0.2109375,back
1.072,3.13623978675101,0.239,1528,0.296,1.52952952952953,0.190013299236485,0.23046875,8.453,16.6836147162418,0.403,10975,0.448,10.985985985986,0.187787806372228,0.19921875,back
2.166,10.5582195468744,0.2295,2636,0.2885,2.63863863863864,0.350000050292539,0.20703125,10.43,20.7919696036715,0.399,13282,0.447,13.2952952952953,0.145721416519922,0.27734375,back
2.34,8.38295890482591,0.226,2855,0.279,2.85785785785786,0.297467308812309,0.16015625,10.453,20.6086147035651,0.382,12820,0.433,12.8328328328328,0.262679637370758,0.23046875,back
1.377,4.46486281984117,0.2395,1707,0.2895,1.70870870870871,0.389610420260291,0.171875,9.807,18.9329078590691,0.3805,11976,0.432,11.987987987988,0.24219970406482,0.23828125,back
1.431,5.87664870483169,0.233,1860,0.283,1.86186186186186,0.301721898077983,0.1640625,8.195,16.3899054298675,0.3495,10504,0.409,10.5145145145145,0.195196522594975,0.17578125,back
2.99,8.73258266493939,0.2435,3623,0.2855,3.62662662662663,0.324332990302688,0.15625,14.91,30.4210124749325,0.363,18958,0.422,18.976976976977,0.2023178549144,0.17578125,back
2.387,9.58055321993464,0.239,2978,0.284,2.98098098098098,0.331484493555189,0.171875,13.532,27.1462704620727,0.329,16698,0.38,16.7147147147147,0.223020968478845,0.19921875,back
2.657,7.17990250630188,0.229,3288,0.27,3.29129129129129,0.290896380093239,0.16796875,15.694,32.211333409221,0.363,20190,0.4135,20.2102102102102,0.196134080645805,0.16796875,back
3.08,8.1454281655417,0.3025,3896,0.3495,3.8998998998999,0.290425609602273,0.1875,14.066,29.9894981618566,0.3545,16787,0.409,16.8038038038038,0.329404574563906,0.1875,back
1.726,4.36692111217961,0.224,2194,0.269,2.1961961961962,0.253325918083359,0.21484375,11.428,23.7632068542947,0.375,15185,0.4355,15.2002002002002,0.130685069716604,0.2421875,back
1.713,4.81383423063155,0.223,2150,0.2655,2.15215215215215,0.331463312078458,0.16796875,9.769,20.2615645990136,0.361,12276,0.4045,12.2882882882883,0.234663796930706,0.20703125,back
1.885,4.74773630270258,0.26,2416,0.313,2.41841841841842,0.30707233460099,0.19921875,11.006,22.2239060473176,0.4015,14095,0.441,14.1091091091091,0.218877056275081,0.1640625,back
1.549,3.50157107596005,0.27,2056,0.323,2.05805805805806,0.166859070079201,0.2421875,14.75,29.1168679634332,0.378,18851,0.425,18.8698698698699,0.191201907505387,0.203125,back
1.755,4.79781200131894,0.2615,2259,0.3045,2.26126126126126,0.238768727702165,0.17578125,15.356,29.9266770624471,0.38,18981,0.429,19,0.189847708892339,0.2265625,back
1.621,3.79381074910175,0.26,2120,0.306,2.12212212212212,0.281033343844408,0.15625,17.995,35.0895283524872,0.391,23200,0.441,23.2232232232232,0.174205941404681,0.23828125,back
1.905,4.48185229564742,0.269,2458,0.316,2.46046046046046,0.282918979430011,0.17578125,19.997,37.2312100259983,0.3795,25575,0.4305,25.6006006006006,0.186268553500838,0.23046875,back
1.101,2.26517107521706,0.2505,1521,0.298,1.52252252252252,0.22471448581298,0.15625,16.447,31.0325474300773,0.372,21930,0.4185,21.951951951952,0.174174880266245,0.19140625,back
1.777,4.45162891535222,0.232,2340,0.2715,2.34234234234234,0.287320961129483,0.1875,17.247,34.624832129557,0.3745,21515,0.424,21.5365365365365,0.200725854829806,0.20703125,back
1.618,3.27902424510707,0.2705,2181,0.3155,2.18318318318318,0.187137248271157,0.1875,22.623,41.0737020488779,0.3975,28350,0.437,28.3783783783784,0.232605683292576,0.171875,back
1.705,3.47951145996101,0.277,2242,0.3255,2.24424424424424,0.2519153666878,0.15625,17.09,32.988513152308,0.3585,20741,0.4025,20.7617617617618,0.186899602188137,0.26171875,back
1.714,3.79473319220205,0.2615,2131,0.311,2.13313313313313,0.300015711377818,0.17578125,17.733,33.6319639628732,0.355,21493,0.4205,21.5145145145145,0.253630685213122,0.1875,back
2.512,6.0435089145297,0.24,3154,0.276,3.15715715715716,0.286003723579017,0.171875,14.142,28.5110504892401,0.3545,17719,0.4145,17.7367367367367,0.229679324252174,0.22265625,back
1.27,2.69295376863399,0.251,1686,0.302,1.68768768768769,0.254136789851076,0.203125,17.322,32.1531024941606,0.397,22514,0.4455,22.5365365365365,0.196993865566367,0.17578125,back
1.609,4.85314331129836,0.256,2116,0.313,2.11811811811812,0.282504920902187,0.17578125,13.339,25.4048223768638,0.355,16894,0.4105,16.9109109109109,0.195659821890479,0.2109375,back
1.398,2.94278779391243,0.26,1922,0.305,1.92392392392392,0.204151156430566,0.18359375,16.783,31.2858274622871,0.3585,20883,0.413,20.9039039039039,0.254775259005289,0.1875,back
1.109,2.01668044072431,0.281,1582,0.327,1.58358358358358,0.120234097413587,0.234375,12.325,24.3367006802483,0.3865,15537,0.438,15.5525525525526,0.228690453567793,0.18359375,back
1.24,2.6134268690744,0.277,1766,0.325,1.76776776776777,0.117829273533273,0.25,20.131,34.9060023491663,0.383,24498,0.4345,24.5225225225225,0.221145426148568,0.17578125,back
1.248,3.01396748489429,0.273,1614,0.324,1.61561561561562,0.349497281440847,0.18359375,15.221,25.4061213096372,0.3785,19039,0.4265,19.0580580580581,0.203274226607078,0.28125,back
2.525,6.17681147518685,0.272,3308,0.3145,3.31131131131131,0.296197978822931,0.16796875,12.93,24.2489175016123,0.3855,16404,0.4315,16.4204204204204,0.224937857090902,0.21484375,back
1.659,4.29872073994113,0.28,2212,0.34,2.21421421421421,0.268032041650939,0.203125,11.668,20.8008172916354,0.397,15008,0.439,15.023023023023,0.217233423136562,0.19140625,back
2.521,5.84183190446285,0.283,3308,0.325,3.31131131131131,0.23978061802024,0.2109375,13.111,24.1130462613084,0.386,17404,0.446,17.4214214214214,0.166241276738122,0.1953125,back
1.639,3.95512325977333,0.256,2130,0.307,2.13213213213213,0.290151513406299,0.1640625,12.33,24.0286495667151,0.384,15815,0.4285,15.8308308308308,0.225183909820678,0.203125,back
1.406,4.0054962239403,0.2305,1771,0.276,1.77277277277277,0.302434236091924,0.16015625,10.296,19.7833768603846,0.3925,13215,0.442,13.2282282282282,0.223340393131226,0.18359375,back
1.255,2.91393205136976,0.232,1594,0.281,1.5955955955956,0.277939221577076,0.1953125,12.335,23.9734644972311,0.382,16156,0.4245,16.1721721721722,0.158479971824543,0.265625,back
1.582,5.10137236437412,0.226,2054,0.273,2.05605605605606,0.204349341256006,0.234375,11.67,21.3083082388068,0.375,14246,0.424,14.2602602602603,0.253650373784261,0.203125,back
1.488,4.2785511566417,0.247,1996,0.298,1.997997997998,0.222055619016789,0.20703125,12.93,23.0364927886169,0.3625,15789,0.412,15.8048048048048,0.255820619377526,0.19921875,back
2.02,5.44903661209943,0.248,2558,0.296,2.56056056056056,0.300989788651531,0.16796875,10.781,20.9255107464549,0.3705,13495,0.4245,13.5085085085085,0.263328445787488,0.2265625,back
1.682,3.82544115103082,0.28,2216,0.333,2.21821821821822,0.219625316070564,0.14453125,13.654,26.2561611817112,0.3985,16923,0.4475,16.9399399399399,0.235907294973664,0.22265625,back
3.737,9.3476735073493,0.313,4530,0.372,4.53453453453454,0.298183766093469,0.171875,13.221,25.908319127261,0.3755,16413,0.4255,16.4294294294294,0.227200440987903,0.2265625,back
1.388,3.0841530441922,0.282,1804,0.333,1.80580580580581,0.240740538062643,0.1875,18.321,32.4823182670203,0.381,23080,0.428,23.1031031031031,0.217874984358511,0.22265625,back
1.208,2.93666477487642,0.241,1666,0.286,1.66766766766767,0.176712700833629,0.19921875,12.286,24.3352419342812,0.35,15464,0.398,15.4794794794795,0.254218718572882,0.17578125,back
2.048,5.65932858208463,0.291,2708,0.336,2.71071071071071,0.217303591518314,0.203125,16.014,28.1426722256434,0.369,20066,0.418,20.0860860860861,0.191226470072862,0.23046875,back
1.455,4.29057105756332,0.252,1884,0.304,1.88588588588589,0.284425123185442,0.20703125,10.528,19.1058106344641,0.3635,13497,0.4115,13.5105105105105,0.20091940025964,0.19921875,back
2.173,4.80385262055363,0.273,2624,0.317,2.62662662662663,0.350911910229213,0.16796875,17.003,31.1346270252271,0.383,21996,0.43,22.018018018018,0.179368350580729,0.2578125,back
1.207,3.24484206087138,0.225,1652,0.278,1.65365365365365,0.18395497676336,0.2578125,12.951,24.1599461919931,0.327,16096,0.376,16.1121121121121,0.279243060762145,0.15234375,back
1.496,3.32565782966318,0.248,1964,0.3,1.96596596596597,0.278571428571429,0.17578125,12.813,25.9142238934528,0.423,16549,0.4595,16.5655655655656,0.225566706464852,0.2109375,back
1.614,4.73856518368166,0.25,2042,0.3055,2.04404404404404,0.23981699719366,0.21875,13.312,27.442631069196,0.3875,15742,0.4335,15.7577577577578,0.300574597451839,0.18359375,back
1.51,3.47908033825033,0.2615,2033,0.3105,2.03503503503503,0.23894870252706,0.17578125,13.931,25.1615778519551,0.4005,17609,0.451,17.6266266266266,0.195385511109525,0.18359375,back
1.052,2.21810730128188,0.2475,1525,0.2975,1.52652652652653,0.153892692019666,0.2734375,12.632,23.7018986581244,0.4065,15865,0.453,15.8808808808809,0.223212045712666,0.2578125,back
2.841,7.18463638606715,0.31,3522,0.3645,3.52552552552553,0.305294225284694,0.15234375,16.623,28.8006076324789,0.4135,21526,0.47,21.5475475475475,0.18341101382667,0.27734375,back
2.697,7.71952071051047,0.279,3540,0.327,3.54354354354354,0.265994459379647,0.2109375,19.07,37.9293817508274,0.404,23433,0.455,23.4564564564565,0.253513430552406,0.16015625,back
1.72,3.50199942889773,0.277,2282,0.3225,2.28428428428428,0.262874571729127,0.1640625,17.885,32.9311554610524,0.425,22408,0.466,22.4304304304304,0.241816904725652,0.2265625,back
2.213,5.58184557292658,0.279,2802,0.3305,2.8048048048048,0.285688054824625,0.19140625,14.201,26.7102040426501,0.4155,17668,0.458,17.6856856856857,0.23522484672233,0.2109375,back
1.686,3.70243163339987,0.269,2216,0.3115,2.21821821821822,0.281147803867548,0.15234375,22.332,44.6979417870667,0.4305,28425,0.468,28.4534534534535,0.226705174605814,0.1796875,back
2.81,7.45774764925711,0.3045,3463,0.365,3.46646646646647,0.359395373028023,0.171875,19.625,36.4868058344383,0.4355,25132,0.469,25.1571571571572,0.17215031789962,0.23828125,back
3.166,8.92905370126084,0.2785,3983,0.314,3.98698698698699,0.205924022964394,0.19921875,16.948,34.6114431944119,0.4145,21508,0.463,21.5295295295295,0.178724003447791,0.24609375,back
2.899,8.18602467623938,0.291,3488,0.3465,3.49149149149149,0.351688519064625,0.1640625,21.729,42.5172082808832,0.418,28732,0.466,28.7607607607608,0.115922326236171,0.23828125,back
3.146,8.3783053179029,0.2765,3839,0.3305,3.84284284284284,0.324048696894366,0.1875,21.479,46.2541565699776,0.442,28074,0.481,28.1021021021021,0.12774162311283,0.25,back
2.895,5.94869733639223,0.307,3712,0.358,3.71571571571572,0.24090507976297,0.17578125,22.867,47.5644930594241,0.4075,28999,0.4605,29.028028028028,0.181647517688907,0.1875,back
7.547,22.2026800184122,0.2445,9771,0.31,9.78078078078078,0.121540956626548,0.2734375,2.433,4.49277197284705,0.3455,3301,0.4165,3.3043043043043,0.178496031735405,0.2109375,front
